Date,Open,High,Low,Close,Volume
2012-08-30,140.9,140.94,140.19,140.49,87670205
2012-08-31,141.32,141.82,140.36,141.24,130393446
2012-09-04,141.09,141.46,140.13,140.87,101328393
2012-09-05,141.1,141.47,140.63,140.94,84134821
2012-09-06,141.79,143.78,141.76,143.78,131300165
2012-09-07,144.02,144.39,143.88,144.39,82439521
2012-09-10,144.21,144.44,143.46,143.51,72407250
2012-09-11,143.63,144.37,143.56,143.89,71392996
2012-09-12,144.38,144.55,143.9,144.39,76655733
2012-09-13,144.33,147.04,144.15,146.7,176699165
2012-09-14,146.89,148.11,146.76,147.24,149771595
2012-09-17,146.95,147.19,146.37,146.74,93464487
2012-09-18,146.53,146.81,146.25,146.62,81839586
2012-09-19,146.76,147.17,146.41,146.74,97491385
2012-09-20,146.0,146.79,145.63,146.75,126125706
2012-09-21,146.64,147.0,145.81,145.89,92863680
2012-09-24,145.16,145.98,145.05,145.59,81529919
2012-09-25,145.96,146.24,144.06,144.19,116957213
2012-09-26,144.11,144.11,142.96,143.29,128852225
2012-09-27,143.88,144.97,143.51,144.72,96575805
2012-09-28,144.01,144.55,143.46,143.93,127590894
2012-10-01,144.5,145.69,144.02,144.24,120196114
2012-10-02,144.9,145.15,143.83,144.5,102440134
2012-10-03,144.88,145.43,144.13,145.07,104035525
2012-10-04,145.63,146.33,145.44,146.27,110972345
2012-10-05,146.92,147.15,145.7,146.13,102439846
2012-10-08,145.58,145.89,145.31,145.66,70711413
2012-10-09,145.52,145.64,144.15,144.25,133493925
2012-10-10,144.2,144.32,143.09,143.28,112051156
2012-10-11,144.28,144.49,143.36,143.36,104250608
2012-10-12,143.44,143.95,142.59,142.84,106195956
2012-10-15,143.23,144.23,142.77,144.01,89763067
2012-10-16,144.76,145.64,144.66,145.58,93647156
2012-10-17,145.63,146.32,145.42,146.16,97927398
2012-10-18,145.85,146.52,145.33,145.86,126316151
2012-10-19,145.5,145.56,143.05,143.3,161433193
2012-10-22,143.2,143.67,142.28,143.41,112027680
2012-10-23,141.88,142.06,140.83,141.35,166634827
2012-10-24,141.94,142.1,140.8,141.05,101447368
2012-10-25,142.07,142.28,140.57,141.43,114919471
2012-10-26,141.32,141.84,140.39,141.35,118933565
2012-10-31,141.84,142.03,140.68,141.18,85205741
2012-11-01,141.66,143.01,141.52,142.91,89011864
2012-11-02,143.72,143.72,141.41,141.56,113381608
